Epoch,Training Loss,Validation Loss,Validation Accuracy (%),Epoch Duration (s)
1,1.2545518921017647,0.5441232617762071,81.24,385.66
2,0.7230404631853103,0.4779964484226931,89.92,399.17
3,0.5697295341908932,0.48752457534918076,78.32,401.35
4,0.4541079861462116,0.305972205591026,89.04,400.57
5,0.3651972102031112,0.20882789764158832,93.24,400.43
Total time (s),,,,1987.18
Test Accuracy,,,93.16,
Precision Score,,,0.9334905278645427,
Recal Score,,,0.9316,
F1-Score,,,0.9310138845868896,
Precision Score,,,0.9334905278645427,
Recall Score,,,0.9316,
F1-Score,,,0.9310138845868896,
Precision Score,,,0.9334905278645427,
Recall Score,,,0.9316,
F1-Score,,,0.9310138845868896,
Precision Score,,,0.9334905278645427,
Recall Score,,,0.9316,
F1-Score,,,0.9310138845868896,
Precision Score,,,0.93,
Recall Score,,,0.93,
F1-Score,,,0.93,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Test Accuracy,,,93.16,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
ROC-AUC Score over all classes:,,,0.9942,
ROC-AUC Score over all classes,,,0.9942,
Multi-Class ROC-AUC,,,0.9942,
Multi-Class ROC-AUC,,,0.9942,
Multi-Class ROC-AUC,,,0.9942,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Multi-Class ROC-AUC,,,0.9942,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Multi-Class ROC-AUC,,,0.9942,
Precision Score,,,0.9335,
Recall Score,,,0.9316,
F1-Score,,,0.9310,
Multi-Class ROC-AUC,,,0.9942,
